,Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020
25112,E08000025,Birmingham,E01009210,Birmingham 126B,134000,138975,137950,130000,137950,146500,147750,149950,160000,160000
25113,E08000025,Birmingham,E01009211,Birmingham 120C,168200,165000,165000,173500,177000,179250,177000,160000,148000,124000
25114,E08000025,Birmingham,E01009212,Birmingham 126C,123250,125500,137000,150000,150000,147000,143250,145000,140000,140000
25115,E08000025,Birmingham,E01009213,Birmingham 124E,130500,139000,140000,159950,150000,161000,152500,155000,160000,159500
25116,E08000025,Birmingham,E01009214,Birmingham 126D,117500,117500,120000,125000,129500,132500,136000,147250,147500,143000
25117,E08000025,Birmingham,E01009215,Birmingham 126E,125000,132000,127000,129000,130000,129500,130000,130000,110000,98250
25118,E08000025,Birmingham,E01009216,Birmingham 131D,150000,150000,150000,146500,150000,135250,141250,180000,185000,177500
25119,E08000025,Birmingham,E01009217,Birmingham 131E,151125,177500,175000,171750,172000,160000,160000,172000,178750,183000
25120,E08000025,Birmingham,E01009218,Birmingham 120D,338500,338250,315000,300000,343386,300000,321693,378500,368500,380000
25121,E08000025,Birmingham,E01009219,Birmingham 120E,150000,155000,145000,154500,169000,170000,185000,190000,185000,177000
25122,E08000025,Birmingham,E01009220,Birmingham 008A,135000,142000,142000,140000,140000,140000,138000,144500,153500,148500
25123,E08000025,Birmingham,E01009221,Birmingham 007A,155500,156750,165000,170000,170500,173000,165000,177000,184250,181000
25124,E08000025,Birmingham,E01009222,Birmingham 008B,130000,128000,129000,127250,131500,135000,154500,155000,140000,135000
25125,E08000025,Birmingham,E01009223,Birmingham 013A,155500,162000,164475,162000,154000,155000,166750,170000,170000,170000
25126,E08000025,Birmingham,E01009224,Birmingham 008C,147500,152000,154500,159000,161500,168000,168000,172000,172000,178500
25127,E08000025,Birmingham,E01009225,Birmingham 013B,145000,162250,173000,148750,162250,162250,161125,162000,162000,155000
25128,E08000025,Birmingham,E01009226,Birmingham 017A,133000,137500,138975,144350,146250,145000,148000,150000,151500,150000
25129,E08000025,Birmingham,E01009227,Birmingham 013C,136000,140000,145000,145000,145000,145000,140000,145000,151250,155000
25130,E08000025,Birmingham,E01009228,Birmingham 013D,134750,139500,140500,144500,145000,145000,146500,145000,144500,148000
25131,E08000025,Birmingham,E01009229,Birmingham 017B,137000,145500,152500,150000,156000,152500,148500,150000,140500,155000
25132,E08000025,Birmingham,E01009230,Birmingham 017C,140000,148000,141000,143500,151900,154750,160000,162500,157250,162500
25133,E08000025,Birmingham,E01009231,Birmingham 017D,142500,142500,146858.5,138500,147858.5,147858.5,150000,175000,176000,166250
25134,E08000025,Birmingham,E01009232,Birmingham 022D,165000,168750,170000,165000,165000,165000,165000,165500,179000,185000
25135,E08000025,Birmingham,E01009233,Birmingham 008D,126000,125000,129000,130000,130000,130568,135000,131136,131136,128000
25136,E08000025,Birmingham,E01009234,Birmingham 019A,131500,139000,140000,139000,145000,150000,155000,159000,159250,158250
25137,E08000025,Birmingham,E01009235,Birmingham 016A,140500,140000,140500,154750,166250,176750,177750,172000,172000,167500
25138,E08000025,Birmingham,E01009236,Birmingham 019B,150000,149000,148250,149250,152250,152000,158250,167500,158750,166250
